custom_id,annotation,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,intensity
1269431928295391232,2.0,2.0,5.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,4.0,0.45299999999999996
1269436899304726528,2.0,10.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,4.0,0.33299999999999996
1269443600754057216,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.545
1269469501571117056,0.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,0.5675
1269504684429058048,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25
1269505347531739136,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1269515583135064064,0.0,3.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0
1269524557070839808,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1269530901710594048,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.742
1269535355876839424,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269539571961823232,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1269540841074425856,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1269555116874641408,2.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,0.6735
1269556607261773824,2.0,1.0,9.0,3.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,0.5611999999999999
1269558104343097344,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.406
1269560738026344448,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1269563080100454400,2.0,5.0,9.0,4.0,0.0,2.0,4.0,2.0,4.0,1.0,3.0,0.7330000000000001
1269565470019137536,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.364
1269568955242426368,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.4773333333333334
1269569378460327936,0.0,0.0,8.0,3.0,0.0,2.0,5.0,0.0,4.0,2.0,2.0,0.44525
1269570783292112896,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1269572055608983552,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269572972479746048,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.364
1269572996857057280,2.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.574
1269573287643959296,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1269574830438920192,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1269580852410953728,2.0,3.0,5.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,0.789
1269589679994740736,2.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0
1269593186076409856,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7140000000000001
1269594791760867328,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
1269601061834276864,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1269604835760001024,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0
1269608686323929088,2.0,6.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0
1269610587652345856,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0
1269614652910112768,2.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1269619256305561600,2.0,0.0,4.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.341
1269631080333824000,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1269631734376775680,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1269633937560801280,0.0,2.0,7.0,3.0,2.0,3.0,3.0,0.0,3.0,1.0,0.0,0.63775
1269639482518749184,2.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0
1269641860420702208,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269645698108137472,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
