result__vocabulary_id,result__term,result__hateful_meaning,result__number_of_sightings,relevance
tmxoYPxN6,kenaus,A domineering woman,11,1
qnkrTRFcW,makaakje,A person of African descent,0,1
9fbwXeeoa,hoofddoekjesbelastinkje,Tax on headscarves,0,1
V9V9eUZV4,hoofddoekjesbelastingen,Tax on headscarves,0,1
WHLDUJyMT,kopvoddentaksje,A Muslim; one who wears a headscarf,0,1
tZogpdVwx,kopvoddentaksen,Tax on headscarves,0,1
wdfpxbswe,koelietje,"""Coolie""; derogatory for people of Indonesian and Hindi(-Surinamese) origins.",0,1
wivJTZhnz,kenautje,A domineering woman,0,1
1ogjzxEbU,lichtekooitje,Whore,0,1
BpUGLAVeP,sletterigst,Slut,0,1
gEmHjWMjo,gratenkutje,Slut,0,1
zGWVzZEvh,anusriddertje,"""Anus knight""; a man who has anal sex with another man",0,1
JnapncjTp,anusridders,"""Anus knight""; a man who has anal sex with another man",0,1
8YlmnxeEH,achterlijken,"When used for cultures, religions, and groups: backward. For individuals also: retarded, mentally deficient.",0,1
WmGukVtxZ,achterlijke,A mentally disabled person,0,1
YMrQoFYRX,bontkraagje,"Moroccan youth, more generally ethnic youth. Refers to popular brand winter jackets with fur collar, such as Moncler.",0,1
DnHPp8naT,kansenparel,"Immigrant, especially criminal. Literally 'pearl of opportunity', cynical reference to official redesignation of immigrant areas as 'opportunity neighbourhoods'.",0,1
ohqfGvjXa,doos,"Woman, implies 'stupid woman'.",0,1
8oe6wW3RV,kreng,An unkind or crass woman,0,1
oHCtwYcJh,kakker,One of higher social status,0,1
RCrtQoaNZ,sletje,,0,1
JLTrwWtUD,tut,,0,1
FU4Aq4aAT,nicht,A homosexual male,0,1
MpTcvrsqe,muts,A stupid or shallow woman,0,1
Fw6nRTkiU,teef,Bitch,0,1
PmCkmsraZ,autist,"One who behaves strangely, as if autistic",0,1
F2YdEWX7P,kopvoddrager,"Moslima with headscarf, literally 'head-rag-wearer'.",0,1
tDwXGcZtQ,sletteriger,Slut,1,1
gdCA9tWQj,rifaapje,"Moroccan, literally Rif-ape, refers to the the Rif in northern Morocco.",1,1
YBc6TntnB,moelander,"Immigrant, primarily labour migrant, from central and eastern Europe.",1,1
s4tGWLRfQ,gratenkutten,Slut,2,1
KrjCbecuK,loempiavouwer,"A Vietnamese person. 'Lumpia-folder' - a lumpia is a type of spring roll, often sold by Vietnamese street vendors.",2,1
wepaosxWz,geitenneukertje,"Muslim, literally 'goat-fucker'.",3,1
qUwvHPizh,anaalridders,,3,1
2rpeM7pJn,kut-marokkaan,"Moroccan, literally ""cunt--Moroccan"".",4,1
hjbMvWj44,haatmeneer,"Muslim, typically Moroccan. Originally referred to one person, later generalised.",6,1
tfzwtccyn,lichtekooien,Whore,7,1
t4u4dXxTJ,kamelenneuker,"Arab, Muslim, especially Moroccan. Literally 'camel-fucker'.",7,1
LYqFFoKKZ,anusridder,"""Anus knight""; a man who has anal sex with another man",8,1
rBvNxY8Jr,mof,[1] Dutch: A German. Considered a derogatory term reflecting Dutch resentment of the German occupation of the Netherlands during the Second World War. [2] Afrikaans: A homosexual.,10,1
bHvXfFCke,kechje,Whore or prostitute,10,1
zNchhFrtd,haatbaardje,A radicalized Muslim,10,1
VUiEGGUaw,hoeren,Whore,12,1
hVohLunJz,gratenkut,Slut,15,1
NuRZRNHsN,Hottentotten,A person of African descent,17,1
7qVUMgaBW,berberaap,"Moroccan, literally Berber ape, refers to Berber ethnicity / language of most Moroccan immigrants in Netherlands and Belgium",21,1
UvntGNvfR,kopvodje,A Muslim; one who wears a headscarf,22,1
ty9venPat,hoofddoekjesbelasting,Tax on headscarves,26,1
huXdDoZTi,makaak,A person of African descent,27,1
yPNHLJYUx,banga,Slut,27,1
WUBKmJ1Zh,kopvoddentaks,Tax on headscarves,28,1
WZLiMqDpR,plebejer,"""Plebeian""; a person of low social standing",29,1
pJBXQfJbN,slettenbak,,35,1
UGixRbcHZ,kringspiermusketier,"""Sphincter musketeer""; a male homosexual",36,1
rtsK71plk,lichtekooi,Whore,39,1
4yNCr9xco,hoer,Whore,44,1
H6GoBdszC,kech,Whore or prostitute,44,1
Kn2vpfR9v,lesbo,Lesbian,45,1
3XQAsxYuT,smous,Ethnic slur for Jew,45,1
RHDK6pdDr,niknok,Dutch pejorative for a black person.,47,1
8UqTeGfi1,makaken,A person of African descent,51,1
rAYbqBmzz,sletterig,Slut,51,1
AWXZBpUeK,anaalridder,,58,1
CHmK7K48f,zandneger,,58,1
uWxvNhQdE,koelies,"""Coolie""; derogatory for people of Indonesian and Hindi(-Surinamese) origins.",62,1
T3RQLckRg,spaghettivreter,An Italian,63,1
vHqXuhpBW,bosneger,"""Bush negro"", originally referred to escaped slaves in Suriname (Dutch Guyana) who hid in the jungle.",65,1
7n4LAcd8Z,poepchinees,[1] A Chinese person [2] A person of Asian ancestry,69,1
zYyzfzF9Q,rifaap,"Moroccan, literally Rif-ape, refers to the the Rif in northern Morocco.",74,1
YLWXrnRZL,mokkeltje,[1] Slut [2] A fat woman,75,1
QYyFZscxB,kenau,A domineering woman,79,1
AjqWC4ABM,janetten,An effeminate man or homosexual,89,1
vzgkcYbN2,rapaille,,89,1
RgPXmAMFA,spleetoog,A person of Chinese or East Asian descent,94,1
LnQMdBEMz,rapalje,One of low social standing,110,1
zkaJVP3ah,slet,Slut,113,1
VWNRKVRGG,koelie,"""Coolie""; derogatory for people of Indonesian and Hindi(-Surinamese) origins.",134,1
KAMryigje,roetmop,A black person,140,1
gJFghXWaf,trut,"From ""vagina"", a woman",147,1
RojcdgiVs,manwijf,A woman who looks like a man,152,1
uWnXHJZzb,sletten,Slut,154,1
faAujaX6n,cultuurverrijker,"Immigrant ethnic minority or its members, especially Moroccans. Cynical term, literally ""culture-enricher"".",164,1
9XUdM6m46,kutmarokkaan,"Moroccan, literally ""cunt--Moroccan"".",167,1
WfcGunhcg,tokkie,"Ethnic Dutch, white, working class person, with low educational level. Connotations: aggressive, loud, racist, low IQ. Roughly equivalent to 'white trash'.",178,1
hwaaevdsn,geitenneukers,"Muslim, literally 'goat-fucker'.",195,1
jhMgTc6bE,kaaskop,A Dutch person. Translates as 'cheese-head'.,203,1
nTUACALuN,mokkels,[1] Slut [2] A fat woman,228,1
JaUrpsvUL,reetkever,"""Ass beetle""; a homosexual man",244,1
wgwitolnh,mongooltje,Mongoloid,266,1
9J7E3jqmg,medelander,"Immigrant, especially Moroccan. Cynical usage, literally 'co-inhabitant', originally official euphemism for foreigner.",279,1
WQB2cJF2H,mocro,Moroccan,286,1
Vjsxzjok1,hoertje,Whore,289,1
u4BLGj8by,blauwen,One who is part Indonesian and part European,291,1
NmbhsEnik,kopvodden,A Muslim; one who wears a headscarf,337,1
RFQjtLbtt,haatbaard,A radicalized Muslim,337,1
zeyxpa1um,kopvod,A Muslim; one who wears a headscarf,390,1
dKjG3tRWa,geitenneuker,"Muslim, literally 'goat-fucker'.",436,1
EeQqxbMuu,proleet,One of low social standing,470,1
ZNwzTuXta,haatbaarden,A radicalized Muslim,487,1
MbKEpE3Ja,mokkel,[1] Slut [2] A fat woman,492,1
P2TMUfUbL,mongolen,Mongoloid,512,1
T3y3NC83R,kansarme,"Immigrants, literally 'chance-poor', the noun is used in the plural. Originally an official euphemism for poor / deprived.",583,1
XqLaErqwn,kechs,Whore or prostitute,659,1
tgkqxHLBY,stoephoer,"""Sidewalk whore""",662,1
NvGkxnXW3,nikker,,707,1
zWpZEPwUZ,mongool,Mongoloid,709,1
yJpgpcEUg,huppelkut,"""Skipping cunt""; a stupid or shallow woman",731,1
NjbFBqHtN,huppelkutje,,758,1
yRCHUpFec,debiel,"Moronic, as if mentally disabled",799,1
vHABuG93H,allochtoon,"Non-Dutch, in Flanders non-Flemish. Originally a neutral official term, but acquired negative connotations, and is widely used in a derogatory sense.",815,1
cYncRFarp,achterlijk,"When used for cultures, religions, and groups: backward. For individuals also: retarded, mentally deficient.",1049,1
nNjFFT7WV,moffen,"In Dutch the most common term for the German people, after the regular/official one, is 'mof'. It is regarded as a derogative term, used exclusively for Germans and reflected Dutch resentment of the German occupation of the Netherlands during the Second World War and the respective German actions. The word 'Mofrika' (Germany) is a portmanteau of Africa and 'mof'. In the late 16th century the area now known as East Frisia and Emsland and the people that lived there were referred to as 'Muffe'. At the time that the Netherlands were by far the richest country in the whole of Europe, and these people were looked down upon greatly by the Dutch. The area of Western Lower Saxony was at that time very poor and a good source for many Dutch people looking for cheap labour. The inhabitants of this region were known to be rather reserved and were often described as 'grumpy', 'rude' and 'unsophisticated' by the Dutch. Later the term was used to describe the whole of Germany, which, at the time, wasn't much better off economically than Western Lower Saxony, mainly due to the various wars waged on its territory by foreign powers. The term seemed to have died out around 1900 but returned following the German invasion of the Netherlands in 1940. A popular humorous (but false) etymology of the word 'mof' by the Dutch is that it is actually a German abbreviation meaning 'Menschen ohne Freunde' ('people without friends').",2115,1
