id_str,full_text
1252269036185976838,Wat kan een volk dommer worden met een achterlijke president... #demonstrerentegenmaatregelen #COVIDー19 #coronavirus
1252277002704486407,@EventProfiel @Mark_Haagen @NiekStam @DakdekkersCao @Egbertjs @RESPECTtheDUTCH @ericahemmes @MeyerRon @lindavvermeulen @RonaldPlokker Volgens mij kun jij beter een betere bril aanschaffen! Je ziet er uit als zo’n achterlijke Vindicat Coronalul....
1252270098590695425,Grappig dat die 5G corona types dezelfden zijn die tegen vaccinaties en abortus zijn... \\n\\nHet is net als met die negers die de corona aanpak te blank vinden;\\n\\nALTIJD DEZELFDEN! 😂 https://t.co/rLeVCgZDOh
1252241006973587457,@Niels_V @PostNL @Ketchupfabriek Je hebt toch wel een hele doos vol besteld
1252241688506105857,@SanderQuote Geef deze Vindicat kakker geen podium meer aub
1252243986733043722,Dit laat het failliet zien van zielige clubjes die alleen maar racist schreeuwen en zich blijkbaar verheven boven het blanke volk voelen door het verleden\\n\\nLandelijk Platform Slavernijverleden: Nederlandse coronabeleid is te wit https://t.co/R7tmc2c2GG via @deKanttekening
1252248710731436033,WAT een verhaal! De met veel tamtam geleverde Philips ventilators staan nog in de doos en hulpstukken ontbreken. Zijn niet geschikt voor IC met corona patiënten. https://t.co/olWOylQbji
1252030370549301249,@Nieuwsuur @Turandot19 Laten we deze Turken dan ook allemaal maar medische zorg weigeren wanneer men toch besmet raakt met het coronavirus. Ik ben helemaal klaar met dergelijke achterlijke allochtonen die zich nergens wat van aantrekken.
1252220639093628928,@avrotrosradar Wat een vuile pleurislijers zeg
1252221324149370882,@fuckroeper Zoveel onzin in een tweet. Het openbaar bestuur de schuld geven van een scam bericht en er corona apps bijhalen. Man man
1252355730230833153,@hugodejonge @CordaanNL Waarom is er dan nog.steeds die achterlijke 5 minuten regel van de rivm. Niet te geloven!! @rivm @hugodejonge #alleensamen
1252340159716212738,@Percolator_HNJ Er wordt met die ouderen gesproken op de Ellemeet manier (die muts van GroenLinks) . Die ziet liever dat zieke ouderen vrijwillig afzien van behandeling. Nu staat het mooi bij de cijfertjes van het RIVM. En verdwijnen ook uit de grafiek waarmee ze aandacht afleiden van alles.
1252302867794464768,@thierrybaudet @fvdemocratie Hoe lang mag deze teef nog ons belastinggeld weggeven? Tijd voor een opstand ! Een groot gedeelte van de bevolking mocht jaren op een houtje bijten! Omdat er zogenaamd geen geld was ! Nu met die corona crisis gaan de geld sluizen ineens los ! Hoe kan dit ?
1252086359080284167,@xxmiekewxx Leesik dit nou echt een blanke die verward verdrag vertoont.😠\\nNiet alleen corona is besmettelijk.
1252310161080844291,@hugodejonge @CordaanNL Denk je nou echt dat wij achterlijk zijn 
1252172442132525057,@SanderQuote @NPO1 Deze presentator wens ons allemaal... dood... Coronamaatregelen zijn immers debiel toch sander SOA?
1252022048572035073,@franchimont Niet omdat er enkele mongolen tegen de Islam zijn.\\nDat heel België er tegen is.\\nNet zoals dat niet elke Belg een mongool is omdat er sommige mensen wc papier hamsteren of rijen lang aanschuiven voor de containerparken.
1252001183692197889,@FlickHerrOtto1 @SigridKaag Ongelooflijk. Als de coronacrisis ons leert is dat Globalisme het heeft veroorzaakt.\\n\\nWat doet Kaag @SigridKaag ?\\n\\nNog meer globalisme. \\nDat wijf wil ons blanken KETS DOOD hebben.  Kijk die bloeddoorlopen ogen dan!🙄😲
1252220375351676930,@RTLZBeurs @BNR Waarom is er verdiencapaciteit nodig in Italië als centrale banken oneindig geld kunnen printen. Al die fondsen is toch alleen maar politiek en juridisch behang om het achterlijke volk voor de gek te houden zoals in de Wizzard of OZ? https://t.co/TQNfrc0MDX
1252205407453491200,Het is de vraag of die doos met de nieuwe API v Apple &amp; Google al niet geopend is. Toezicht belangrijker dan ooit @toezicht_AP #turningpoint #coronaApp #corona https://t.co/Xt8XVWyQK7
1252209791382040576,Na het lezen van deze tekst heb ik echt pijn in mijn blanke hoofd ...\\n\\nLandelijk Platform Slavernijverleden: Nederlandse coronabeleid is te wit https://t.co/5Z647ryOmS via @deKanttekening
1252251455282712576,ach ja ik heb zweden altijd al een achterlijk apart land gevonden met z
1252263049672753153,Racisme van de bovenste plank. En nu? @FerdGrapperhaus? Gaan we deze negers aanpakken?\\n\\nWTF!? Landelijk Platform Slavernijverleden: Nederlandse corona-beleid is te wit https://t.co/SJGwcM9Xrh via @theoldreader
1252136074190651392,Hele rij tokkies steekt middelvinger op naar zorgpersoneel.\\nLine of deplorables give nurse the finger\\n#corona https://t.co/oh3YWxhOEd
1247526158347845633,De VUB zoekt 10 000 gebruikte laptops en tablets voor kansarme jongeren. De toestellen zullen gebruikt worden om afstandsonderwijs te volgen. #togetheragainstcorona https://t.co/fzejMTCZNJ https://t.co/d9omXnuQSI
1247535368041164800,@LodewijkA @PvdA @henknijboer\\nIk ben diep onder de indruk van de al meer dan 6 jaar durende brutoloonverlaging bij de vrouwelijke thuishulpen van €12.8 naar €10.5 met verlaagde pensioenopbouw? \\n#datislief van de PvdA. \\n#liefdeintijdenvancorona https://t.co/27rmf7e2M5
1247488823002619907,die beelden van onze containerparken tonen nog eens hoe achterlijk we als volk eigenlijk zijn #CoronaCrisis #blijfinuwkot
1247486692971479041,Bram zit er helemaal klaar voor.... de Lego doos gesorteerd
1247590476947087362,Deze achterlijke maatregelen om je privacy op te geven
1247591085062447105,Mogelijk medicijn tegen corona is goedkoop én overal voor handen: bloedplasma van genezen patiënten. Behalve als ge nen homo zijt
1247461741031800832,@JensTMC120 @pdsutter Ik zie niet in waarom dit geen goed moment is. Ik onthoud dat @RodeKruisVL geen plasma wil van genezen COVID19 patiënt gewoon omdat hij homo is. 15 jaar getrouwd.
1247565452773142529,@FlickHerrOtto1 @telegraaf Klopt geen flikker van daar bij dat RIVM de zo genaamde Deskundigen...... let maar op hoeveel de nadruk ligt op de \\
1247569235884363778,@SBergsma Als je die doos aanpakt
1247371515114504192,Wow. Kom je op je werk lees je dat een collega vrijdagavobd in coma is gebracht om zijn leven te redden. Inmiddels is zijn situatie verbeterd. #Corona is a fucking bitch.
1247317408949440512,@Annie17611362 We moeten nadenken over hey einde van Joey kelder met zijn ziekeleke opmerking elke dag 150 doden 1000 nieuwe besmettingen wat een achterlijke gek hij is nog niemand verloren door coronavires zo.n 2000 anderen wel weg met die zieke gek dumpen nooit weer op tv oprotten
1247628030329094147,Wanneer ik alle achterlijke tweets van die kansloze idioten lees
1247498115151728640,UN / EU Depopulatie agenda 21 / 30 Sustainable Development : Corona ? Krijgswet ! Ook al worden militairen  door Kissinger voor domme achterlijke dieren uitgemaakt en roept om de NWO gaan militairen gewoon weer op bevel van de 1% tegen eigen volk vechten . Een prachtig systeem ?? https://t.co/u13Gv4RPHK
1247473117636767746,Belgen zijn goed bezig\\nSerieus😠😠??\\nBende achterlijke kudde schapen\\nCorona virus !!!\\nAllemaal samen hamsteren
1247465249755869186,@ToonvanDijk_PVV Dit wordt een mega financieel drama ...... #Floriade #Almere \\n\\nMisschien kunnen we de #Coronacrisis de schuld geven en het Rijk laten betalen ?
1247546397945147392,@MsRoxxxx @telegraaf @rivm Ben je achterlijk ofzo? No shit dat het door een virus komt. Ik bedoel hoe kunnen jonge mensen die gezond zijn aan corona overlijden. Laten ze dat onderzoeken. En hoezo geen vragen stellen aan RIVM? Weet je wel waar RIVM voor staat? Dom wicht.
1247448793433477121,Weer een bewijs dat we te maken hebben met een Middeleeuwse  religie gedragen door een achterlijke cultuur. #Corona #COVID19 https://t.co/jc3YCycU7P
1247289695794536449,Ben jij ook een linkse landverrader wellicht   dan wens ik je een doos corona toe https://t.co/cbYeR7GmtM
1247603551507005443,Dus r kelly denkt dat die vrij mag komen omdat die bang is voor corona?  Hoe kkr achterlijk ben je dan eigenlijk
1247333273090523136,@GeLeHesjesNL @HaMaMolNij Omdat ze dat misschien al lang van plan waren? Of gaan we 5G de schuld geven van het coronavirus
1247514893458292739,Al die achterlijke gelovige idioten realiseren zich niet dat de almachtige tovenaar (welke eigenlijk) zelf corona heeft verzonnen. Waarom een virus verspreiden om daarna zijn schaapjes te redden? \\nReligie maakt je verschrikkelijk dom!!!\\n https://t.co/WJmjJv9WKq
1247431320290107392,@GauisHelenaMoha @RuttenGwendolyn Niet alleen van Corona wetgeving hoor. Zelfs bij gewone wetgeving. Bijvoorbeeld: als 50 blanke personen hetzelfde kleinschalig \\
1247573048275935233,Wat een betutteling in die persconferentie of hebben we echt zo\n achterlijk volk in Nederland?
