id_str,full_text
1226940024173756416,Alle Chinezen de schuld geven van het #coronavirus Is hetzelfde als alle moslims de schuld geven van aanslagen...stop daarmee!
1226932678580166657,Alweer schaam ik mij voor een deel van mijn blanke landgenoten. Blijkbaar in honderden jaren niets bijgeleerd en gepreoccupeerd door dommigheid. Nu weer jegens chinezen #coronavirus
1226933187529576451,Je kunt wel allerlei oorzaken gaan zoeken en er uren over discussieren maar de reden dat mensen racistisch worden van coronavirus is met name dat ze volstrekt achterlijk zijn. Verder eigenlijk niets. #dwdd
1226644591702618114,@NlOnbehoorlijk @PetraBotter @M1Kamphuis @rivm Ik heb hier geen zin in voor mensen met een closed mind!\\nJe staat nergens voor open.\\nBlijf jij maar in je doos leven.\\nFijne avond verder. https://t.co/WeWwZVTuJP
1226975141575450624,Gooi maar in een doos #coronavirus https://t.co/eVyykuEdrC
1226982444252979201,Doe niet zo achterlijk Chinezen in Nederland we love you. Share / deel als je die waanideeën zat bent van mensen #chinezen #china #chinezeninnederland #coronavirus https://t.co/x2gLoDFijF
1226950399116152843,Alle chinezen de schuld geven v/d #coronavirus is hetzelfde als vele andere typische ‘grapjes’ etc.. alleen maar blij dat er aandacht voor is op #dwdd en het zijn geen mensen die zeuren
1226949774932430849,@JansensAdriaan staat die tussen petitie nederlandse hoofden zijn niet om tegen te schoppen of witte ouderen zijn er niet om te beroven of witte meisjes zijn niet allemaal hoeren in dat rijtje? #chinesen #coronavirus.
1226951612259852289,@mockngjoyy #kopschoppen oudjes beroven witte vrouwen verkrachten mocht geen naam krijgen en NU is dit de kracht van media en schapen? #DWDD #coronavirus #chinezen
1226789523016888320,@p__w @JPS___JPS @amsgeel Wa een kut mongool ben je nie he? Jou moeder mag de corona pijlen
