id_str,full_text
1289469924306489345,@ANanninga Je ben gewoon een trut dattegaat ook voor hun geld vrijheid van samenkomst ook in de openbare ruimte zie hier juist gewenste naleving van coronamaatregelen in....En in nog teveel Christelijke kerken hebben ouderlingen/ diakenen/ Kerkraad waar in hun geval ook geen vrouw in 1/2
1289522431032532992,@GoStFl Alleen maar blanken dus het gaat over corona.
1289519939116646400,Die hele achterlijke Corona onzin met de meest idiote maatregelen afgekondigd door bestuurders die zich daar zelf niet aan houden...Doet een beetje denken aan de energiecrisis halverwege de 70tiger jaren...regering in de stress autoloze zondagen en 15 liter brandstof op bon
1289521466770300929,@brightestvoid En ik hoop je generatie krijgt corona vuile slet  praat goe doe niet de stoer op twitter als je niks zou durven zeggen voot iedereen
1289430102686670848,@gdj0801 @hrvdg7 @RoosdelaCroix @antoniuszkh Er is überhaupt helemaal geen échte lockdown geweest in #Nederland. Dat had duizenden #levens kunnen schelen.Gaat mogelijk alsnog wel eens nodig zijn gezien het achterlijke NL-#Coronabeleid en het gemiddelde onverantwoordelijke gedrag.#BREEKdeGOLF @ContainmentNU!
1289584804774592512,@BKaarsgaren @Simonejuf @telegraaf Zijn geen regels maar achterlijke adviezen van @rivm
1289580404744183809,Zorg er maar voor dat deze achterlijke maatregelen van tafel gaan Corona is er helemaal niet meer en is nooit een killervirus geweest. Die testen slaan nergens op iedereen heeft virusjes in hun dna nu al 5 maanden van mijn leven verziekt de regering
1289578793108029443,@Jill220 @tomvangrieken Als jij een schaap wilt zijn en geloven wat er allemaal op tv komt of op sociale media mij ni gelaten. Wat ik versta onder uw tweet is dat moslims met de corona lopen en de blanke brave witte Julie of Jean Paul een over dosis aan alcohol 🤷🏽‍♂️ swat pipos moeten er ook zijn eh
1289454028510773251,@Barttommelein De coronacijvers zullen wel stijgen noem jij dat tevreden zijn achterlijke pater
1289450760099573760,@arnonyy Ik denk dat mijn dochter (nu 9) later ook een herstelbetaling gaat claimen bij de regering voor t verzieken van haar jeugd door overdaad aan Corona maatregelen EUfonds slecht regeren BLM etc voor t etnisch zuiveren van alle zaken die te maken hebben met NL blanke mensen
1289626455765221376,@MeloenW @FuckedWorldFix @BIN01001001 @OverduinAnneke @NUnl Naast dat het debiel is is het ook enorm onvolwassen om te gaan lachen om Coronadoden.
1289635949098364928,Corona BelgieOostendeDe VRT en viroloog Van Ranst die het coronabeleid bepalen zullen in hun volgende programma de NMBS ongetwijfeld de schuld geven voor de massale overrompeling in het station van Oostende die het gevolg was van de enorme hitte. Dat is typisch Belgisch... https://t.co/9FjpzdF3oo
1289642495211520002,Kunnen die achterlijke reclames voor vliegvakanties worden verboden? #coronavirus
1289644823687786496,@brkw12 Er zijn vele soorten Corona. Daarom heet de huidige variant Covid-19.Net als menselijk ras. De een is Chinees de ander blank neger Amsterdammer Burgemeester Rotterdam.
1289338930702123008,@rivm Hugo verkracht nog een paar kinderen (en hou je bek).. . https://t.co/kunpGu0yiQ
1289338976474521600,@rivm Hugo verkracht nog een paar kinderen (en hou je bek).. . https://t.co/kunpGu0yiQ
1289339258684276738,@rivm Mark &amp; Hugo verkracht nog een paar kinderen (en hou je bek).. . https://t.co/kunpGui9Hq
1289376898577862656,@tomvangrieken Mr Van Grieken waarom deelt u geen volledige video van de moskee of fotos binnenin die aantonen dat alleregels werden gerespecteerd  ? Liever wat haat zaaien en de moslims de schuld geven mbt corona. Misselijkmakende politicus. Toon deze foto aan uw volgelingen. Vlaamse kust. https://t.co/KCUYx37E1w
1289532535857246208,@NoormanAnke @ThomasDamsko Vond ik ook met al dat achterlijke gebrainwasht corona regels overtredende gedoe op de dam en de erasmusbrug.
1289535643131895808,Dan moeten de gemeenten die achterlijke desastreuze maatregelen gewoon niet erkennen en handhaven. Probleem opgelost.Kijk naar de cijfers.Amper doden en ernstig zieken.#anderhalvemeter #coronamaatregelen #noodwet
1289664173433970688,Geile chinese slet uit Ridderkerk!Meester kesperweg 80 &lt;- whoowww#Ridderkerk #slikkerveen #Ridderkerkbolnes #COVID19 #BLM #blacklifesmatters #BlackLivesMattters #rotterdam #zuidholland #barendrecht #ANAL #SEX #PORN #PORNO #ASIAN #PUSSY #ASS #mondmaskers #COVIDIOTS https://t.co/aKIYMMPabo
1289657678847868928,@NOS onderwerpen v/h @NOS journaal ELKE dag weer:🔴 het aantal #corona-besmettingen wereldwijd🔴 hoe enorm #racistisch blanke mensen zijn🔴 dat er werkelijk niets deugt aan president #Trump🔴 hoe geweldig premier #Rutte is🔴 dat het ontzettend slecht gaat met het #klimaat https://t.co/sBYscBY3ld
1289658729969770496,Terwijl de brave blanke Antwerpenaren opgesloten worden zonder enige significante reden dansen de moslims op hun offerfeest rustig de macorona! Ziehier de beelden van gisteravond!!!VB-afdeling Antwerpen.https://t.co/3PvS9dcCsI
1289488210234466311,Presentator Andy Cohen mag geen coronavirus patienten redden omdat hij homo is.https://t.co/v7ETRfiTK9 https://t.co/Mjmaag8G5O
1289492098136199168,Economie krimpt in heel Europa. Hoe staat het met het milieu? Files? Foodafdruk? Luchtvervuiling? Wellness mensen? Je kan je afvragen of dit kan helpen op weg naar een andere / betere wereld. #coronavirus #Europa #Economie
1289608052916854790,@ADnl #belgenhumor ! Blijft lachen met die achterlijke #belgen .Het enige wat tegen #Covid_19 is met je lul uit je broek gaan lopen. #rivm advies. @hugodejonge  is ook van mening dat we dit wettelijk moeten vastleggen @cdavandaag . In #Rotterdam  en #Amsterdam begint een proef 👍👍
1289611083800408064,@RobbinHelmond Je snapt er geen flikker van Robbin. 1/ Als je kijkt naar de laatste cijfers van het RIVM zie je dat slechts 70 van de 6316 sterfgevallen NIET al ziek waren van te voren. Dat betekent dat je als gezond mens nog meer kans hebt om aan een verkeersongeval te sterven dan een corona.
1289618286255120384,@ZedongLao @IkNet De corona hysterie is één grote hoax! Mijn angst is niet corona mijn angst is hoe mijn kinderen straks als kuddevee zullen worden behandeld. Gechipt gemonitord en gedwongen als slaaf te leven. Ook jij dus! We staan op het randje van de afgrond.Daar zit het echte gevaar!
